"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1";"CP_EIA-7343-31_Kemet-D_HandSolder";1;"100µF 10V";;;
2;"C7, C10, C11, C13, C16";"Capacitor_0402";5;"100nF";;;
3;"C8, C9, C15";"Capacitor_0402";3;"1uF";;;
4;"C12, C17";"Capacitor_0402";2;"4.7uF";;;
5;"C14";"Capacitor_0402";1;"10nF";;;
6;"D1, D2, D3, D4, D5, D6, D7, D9, D10, D11, D12, D13, D14, D15, D16, D17, D19, D22, D23, D24, D25, D34";"Diode_SOD-123";22;"Diode";;;
7;"D8, D18, D20, D21, D26, D27, D28, D29, D30, D31, D32, D33";"LED_WS2812B";12;"LED_WS2812B";;;
8;"F1";"Fuse_0603";1;"500mA";;;
9;"J1";"USB_C_HRO_TYPE-C-31-M-12";1;"USB_C";;;
10;"R1";"Resistor_0402";1;"10k";;;
11;"R2, R3";"Resistor_0402";2;"5.1k";;;
12;"R4";"Resistor_0805";1;"330R";;;
13;"REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**, REF**";"breakaway-mousebites";12;"breakaway-mousebites";;;
14;"S1, S2, S3, S4, S5, S6, S7, S9, S10, S11, S13, S14, S15, S19, S22, S23, S24, S25";"SW_MX_HS_CPG151101S11_1u";18;"Keyswitch";;;
15;"S12, S16, S17";"SW_MX_HS_CPG151101S11_1.5u";3;"Keyswitch";;;
16;"SW1";"Button_TL3342";1;"SW_Push";;;
17;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles";1;"RotaryEncoder_Switch";;;
18;"U1";"Package_LQFP-48_7x7mm_P0.5";1;"STM32F072CBT6";;;
19;"U3";"Voltage_SOT-23";1;"XC6206";;;
20;"U4";"ESD_SOT-23-6";1;"USBLC6-2SC6";;;
