Designator,Mid X,Mid Y,Rotation,Layer
C1,232.123246,-95.639729,0.0,bottom
C10,161.762445,-129.42003,90.0,bottom
C11,152.889945,-120.547526,180.0,bottom
C12,152.889938,-119.565026,180.0,bottom
C13,160.091946,-129.456529,90.0,bottom
C14,158.012446,-129.420029,90.0,bottom
C15,157.029946,-129.42003,90.0,bottom
C16,162.684953,-118.57503,90.0,bottom
C17,163.667446,-118.575032,90.0,bottom
C7,159.012445,-129.420029,270.0,bottom
C8,164.102195,-89.082526,180.0,bottom
C9,163.151195,-93.967526,180.0,bottom
D1,169.021946,-90.282429,180.0,bottom
D10,195.216496,-128.382579,90.0,bottom
D11,214.266896,-128.382579,90.0,bottom
D12,233.317296,-111.713479,0.0,bottom
D13,176.166096,-147.432979,90.0,bottom
D14,195.216496,-147.432979,90.0,bottom
D15,214.266896,-147.432979,90.0,bottom
D16,233.317296,-149.814279,0.0,bottom
D17,185.691296,-166.483379,90.0,bottom
D18,201.237446,-152.653779,0.0,bottom
D19,214.266896,-166.483379,90.0,bottom
D2,195.216496,-90.281779,90.0,bottom
D20,217.906196,-152.653779,0.0,bottom
D21,220.149946,-133.603779,0.0,bottom
D22,147.590496,-109.332179,90.0,bottom
D23,147.591246,-121.238229,0.0,bottom
D24,147.590496,-147.432979,90.0,bottom
D25,147.590496,-166.483379,90.0,bottom
D26,217.906196,-114.553779,0.0,bottom
D27,220.149946,-95.503779,0.0,bottom
D28,148.849946,-152.653779,0.0,bottom
D29,151.231196,-133.603779,0.0,bottom
D3,214.266896,-90.281779,90.0,bottom
D30,151.231196,-114.553779,0.0,bottom
D31,151.093696,-95.503779,0.0,bottom
D32,182.782146,-95.503829,0.0,bottom
D33,201.237446,-95.503779,0.0,bottom
D34,135.684646,-93.853829,90.0,bottom
D4,233.317296,-90.281779,90.0,bottom
D5,180.332146,-106.355129,90.0,bottom
D6,199.381746,-106.355129,90.0,bottom
D7,218.431346,-106.950429,90.0,bottom
D8,182.049946,-152.653779,0.0,bottom
D9,181.522746,-128.381229,90.0,bottom
F1,164.411193,-87.830026,0.0,bottom
J1,160.687444,-72.415029,180.0,bottom
R1,149.77995,-103.647523,90.0,bottom
R2,158.842444,-79.040029,0.0,bottom
R3,162.437446,-78.927529,270.0,bottom
R4,156.222496,-110.224579,0.0,bottom
S1,172.593696,-86.710029,90.0,bottom
S10,191.643696,-124.810029,0.0,bottom
S11,210.693696,-124.810029,0.0,bottom
S12,229.743696,-115.285029,270.0,bottom
S13,172.593696,-143.860029,0.0,bottom
S14,191.643696,-143.860029,0.0,bottom
S15,210.693696,-143.860029,0.0,bottom
S16,229.743696,-153.385029,270.0,bottom
S17,182.118696,-162.910029,0.0,bottom
S19,210.693696,-162.910029,0.0,bottom
S2,191.643696,-86.710029,0.0,bottom
S22,144.018696,-105.760029,0.0,bottom
S23,144.018696,-124.810029,270.0,bottom
S24,144.018696,-143.860029,0.0,bottom
S25,144.018696,-162.910029,0.0,bottom
S3,210.693696,-86.710029,0.0,bottom
S4,229.743696,-86.710029,0.0,bottom
S5,172.593696,-105.760029,0.0,bottom
S6,191.643696,-105.760029,0.0,bottom
S7,210.693696,-105.760029,0.0,bottom
S9,172.593696,-124.810029,90.0,bottom
SW1,154.562446,-105.035029,180.0,bottom
SW2,144.018696,-86.114929,180.0,top
U1,159.012446,-123.297529,90.0,bottom
U3,163.621195,-91.525026,90.0,bottom
U4,160.187444,-86.515029,90.0,bottom
