"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**,REF**";"breakaway-mousebites";12;"breakaway-mousebites";;;
2;"R1";"Resistor_0402";1;"10k";;;
3;"U3";"Voltage_SOT-23";1;"XC6206";;;
4;"SW1";"Button_TL3342";1;"SW_Push";;;
5;"F1";"Fuse_0603";1;"500mA";;;
6;"C9,C8,C15";"Capacitor_0402";3;"1uF";;;
7;"R2,R3";"Resistor_0402";2;"5.1k";;;
8;"J1";"USB_C_HRO_TYPE-C-31-M-12";1;"USB_C";;;
9;"U4";"ESD_SOT-23-6";1;"USBLC6-2SC6";;;
10;"U1";"Package_LQFP-48_7x7mm_P0.5";1;"STM32F072CBT6";;;
11;"C12,C17";"Capacitor_0402";2;"4.7uF";;;
12;"C10,C7,C13,C11,C16";"Capacitor_0402";5;"100nF";;;
13;"C14";"Capacitor_0402";1;"10nF";;;
14;"SW2";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_CircularMountingHoles";1;"RotaryEncoder_Switch";;;
15;"D12,D19,D11,D15,D5,D22,D6,D4,D13,D23,D34,D16,D25,D24,D2,D10,D1,D14,D7,D3,D9,D17";"Diode_SOD-123";22;"Diode";;;
16;"S22,S4,S1,S9,S24,S19,S7,S5,S15,S10,S11,S23,S13,S3,S25,S6,S14,S2";"SW_MX_HS_CPG151101S11_1u";18;"Keyswitch";;;
17;"D8,D21,D33,D18,D20,D26,D32,D27,D30,D29,D31,D28";"LED_WS2812B";12;"LED_WS2812B";;;
18;"S12,S17,S16";"SW_MX_HS_CPG151101S11_1.5u";3;"Keyswitch";;;
19;"R4";"Resistor_0805";1;"330R";;;
20;"C1";"CP_EIA-7343-31_Kemet-D_HandSolder";1;"100µF 10V";;;
